death_id,username,player_name,rank,cause_of_death,brute_damage,brain_damage,fire_damage,oxy_damage,tox_damage,clone_damage,stamina_damage,murder_suspect_username,murder_suspect_player_name

3,Ebba Endsley,nyarlo,Shaft Miner,Severe Burns,0,0,203,3,0,0,0,,

1,Sylar,rogueninja299,Cook,Suffocation,60,0,11,200,0,0,0,,

2,Cora Mathews,mcterra,AI,Severe Burns,0,0,163,40,0,0,0,,

21,Ariana Mens,dawson1917,Assistant,Severe Burns,0,0,40,0,0,0,0,,

22,Ariana Mens,dawson1917,Assistant,Severe Burns,0,0,200,0,0,0,0,,

23,Ariana Mens,dawson1917,Assistant,Blunt-Force Trauma,100,0,0,100,0,0,0,,

25,Lynn Dean,johnjefferyjackson,Chemist,Severe Burns,0,0,208,5,1,0,0,,

36,Cora Mathews,mcterra,Captain,Blunt-Force Trauma,0,0,0,0,0,0,0,,

37,Default Cyborg-411,mcterra,Cyborg,Blunt-Force Trauma,0,0,0,0,0,0,0,,


38,Ariana Mens,dawson1917,Unassigned,Blunt-Force Trauma,202,0,9,0,0,0,0,,

39,Syndicate Assault Cyborg-561,mcterra,Cyborg,Blunt-Force Trauma,63,0,30,0,0,0,0,,

40,Cora Mathews,mcterra,Captain,Blunt-Force Trauma,206,0,0,0,0,0,0,Ziggy Yoyo,dawson1917

45,Cora Mathews,mcterra,Scientist,Blunt-Force Trauma,0,0,0,0,0,0,0,,

48,Cora Mathews,mcterra,"Space Ninja 
                Spac",Blunt-Force Trauma,0,0,0,0,0,0,0,,

44,Lando Baker,mcterra,Lavaland Syndicate,Suffocation,0,0,0,200,0,0,0,Lando Baker,mcterra

43,Lando Baker,mcterra,Lavaland Syndicate,Suffocation,0,0,0,200,0,0,0,Lando Baker,mcterra

42,Lando Baker,mcterra,Lavaland Syndicate,Suffocation,0,0,0,200,0,0,0,Lando Baker,mcterra

53,Sofia Addison,apple107,Chemist,Poisoning,0,0,0,57,144,0,0,,

54,Cora Mathews,mcterra,Unassigned,Blunt-Force Trauma,0,0,0,0,0,0,0,,

52,Ian Easter,conty40,Station Engineer,Severe Burns,0,0,198,5,11,0,0,,

51,Cora Mathews,mcterra,Captain,Blunt-Force Trauma,110,0,0,95,0,0,0,Cora Mathews,mcterra

56,Bimbim,mcterra,Clown,Suffocation,20,0,0,180,0,0,0,Leonel Lineman,conty40

65,Keagan Mills,noisy123456,Chief Engineer,Blunt-Force Trauma,148,0,77,3,0,0,0,Keagan Mills,noisy123456

64,Carter Nicholas,mcterra,Ancient Crew,Suffocation,0,0,0,200,0,0,0,,

